256,Get Behind Me Satan,2005,14,66
257,Icky Thump,2007,6,66
258,Undertow,1993,5,67
259,Aenima,1997,5,67
260,Lateralus,2001,5,67
261,10 000 Days,2006,5,67
262,Makeshift Grey,2001,5,68
263,ZZ Tops First Album,1970,2,69
264,Rio Grande Mud,1972,2,69
265,Tres Hombres,1973,2,69
266,Fandango,1975,2,69
267,Tejas,1976,2,69
268,Deguello,1979,2,69
269,El Loco,1981,2,69
270,Eliminator,1983,2,69
271,Afterburner,1985,2,69
272,Antenna,1994,2,69
273,Rhythmeen,1996,2,69
274,XXX,1999,2,69
275,Animosity,2001,5,54
